time,high
1691,1.0531
1692,1.05279
1693,1.05214
1694,1.05161
1695,1.053
1696,1.0531
1697,1.05288
1698,1.05146
1699,1.05031
1700,1.05051
1701,1.05118
1702,1.05116
1703,1.05137
1704,1.05175
1705,1.05249
1706,1.05364
1707,1.05361
1708,1.05285
1709,1.05269
1710,1.05195
1711,1.05237
1712,1.05483
1713,1.05666
1714,1.05743
1715,1.05594
1716,1.05524
1717,1.05546
1718,1.05536
1719,1.05555
1720,1.05568
1721,1.05384
1722,1.05338
1723,1.05293
1724,1.05348
1725,1.05322
1726,1.05354
1727,1.05359
1728,1.0535
1729,1.05211
1730,1.05089
1731,1.05111
1732,1.05105
1733,1.05039
1734,1.04923
1735,1.04958
1736,1.04885
1737,1.05041
1738,1.05145
1739,1.05215
1740,1.05197
1741,1.05234
1742,1.05504
1743,1.0579
1744,1.05886
1745,1.05799
1746,1.05762
1747,1.0575
1748,1.057
1749,1.05663
1750,1.05666
1751,1.05672
1752,1.05645
1753,1.05682
1754,1.0569
1755,1.05665
1756,1.05698
1757,1.05706
1758,1.05689
1759,1.05685
1760,1.05387
1761,1.05011
1762,1.05051
1763,1.05119
1764,1.05053
1765,1.05044
1766,1.05241
1767,1.05333
1768,1.05219
1769,1.05046
1770,1.05124
1771,1.05142
1772,1.05268
1773,1.05256
1774,1.05237
1775,1.05242
1776,1.05239
1777,1.05191
1778,1.05238
1779,1.05321
1780,1.05322
1781,1.05372
1782,1.05427
1783,1.05384
1784,1.053
1785,1.05326
1786,1.0547
1787,1.05456
1788,1.05271
1789,1.05251
1790,1.05308
1791,1.0553
1792,1.05482
1793,1.05429
1794,1.05418
1795,1.05456
1796,1.05523
1797,1.05542
1798,1.05608
1799,1.05694
1800,1.05621
1801,1.05608
1802,1.0561
1803,1.05538
1804,1.056
1805,1.05646
1806,1.0562
1807,1.05769
1808,1.05831
1809,1.05783
1810,1.05787
1811,1.05753
1812,1.05638
1813,1.05774
1814,1.05844
1815,1.06048
1816,1.05991
1817,1.05905
1818,1.05869
1819,1.05837
1820,1.05808
1821,1.05843
1822,1.05814
1823,1.05794
1824,1.05781
1825,1.05799
1826,1.05766
1827,1.05803
1828,1.0578
1829,1.05743
1830,1.05885
1831,1.05888
1832,1.05859
1833,1.05892
1834,1.05841
1835,1.0576
1836,1.05519
1837,1.05326
1838,1.05188
1839,1.05263
1840,1.05315
1841,1.05248
1842,1.05273
1843,1.05239
1844,1.05235
1845,1.05208
1846,1.05222
1847,1.05238
1848,1.05253
1849,1.05251
1850,1.05316
1851,1.05276
1852,1.05167
1853,1.05086
1854,1.04953
1855,1.05051
1856,1.05111
1857,1.05186
1858,1.05166
1859,1.05234
1860,1.05172
1861,1.05004
1862,1.04798
1863,1.04728
1864,1.04609
1865,1.0449
1866,1.04475
1867,1.04401
1868,1.04418
1869,1.04422
1870,1.04414
1871,1.04438
1872,1.04426
1873,1.0439
1874,1.04472
1875,1.04525
1876,1.04537
1877,1.04528
1878,1.04536
1879,1.04434
1880,1.0451
1881,1.04343
1882,1.04157
1883,1.03954
1884,1.03998
1885,1.04109
1886,1.04366
1887,1.04609
1888,1.04737
1889,1.04828
1890,1.04809
1891,1.04749
1892,1.04818
1893,1.04827
1894,1.04785
1895,1.04772
1896,1.04726
1897,1.0469
1898,1.04673
1899,1.04589
1900,1.04543
1901,1.04615
1902,1.04555
1903,1.04482
1904,1.04485
1905,1.04599
1906,1.04611
1907,1.04459
1908,1.0423
1909,1.04028
1910,1.03895
1911,1.0402
1912,1.04063
1913,1.0403
1914,1.04217
1915,1.04261
1916,1.04287
1917,1.04229
1918,1.04289
1919,1.04332
1920,1.04372
1921,1.04332
1922,1.04317
1923,1.04317
1924,1.04269
1925,1.04303
1926,1.04303
1927,1.04319
1928,1.04298
1929,1.04461
1930,1.04485
1931,1.04561
1932,1.04519
1933,1.04509
1934,1.04348
1935,1.0426
1936,1.04257
1937,1.04217
1938,1.04235
1939,1.04234
1940,1.04235
1941,1.04231
1942,1.04244
1943,1.04316
1944,1.04315
1945,1.04308
1946,1.0432
1947,1.04323
1948,1.04339
1949,1.0443
1950,1.04363
1951,1.04027
1952,1.03409
1953,1.03026
1954,1.0299
1955,1.02949
1956,1.02927
1957,1.0274
1958,1.02526
1959,1.02489
1960,1.02452
1961,1.02485
1962,1.02604
1963,1.02637
1964,1.02665
1965,1.02669
1966,1.02684
1967,1.02626
1968,1.02607
1969,1.02634
1970,1.02649
1971,1.02663
1972,1.02528
1973,1.02475
1974,1.02577
1975,1.02638
1976,1.02504
1977,1.02326
1978,1.02068
1979,1.01906
1980,1.01798
1981,1.01889
1982,1.01794
1983,1.01786
1984,1.01717
1985,1.01807
1986,1.01859
1987,1.01825
1988,1.01851
1989,1.01839
1990,1.01832
1991,1.01847
1992,1.01825
1993,1.01846
1994,1.01972
1995,1.02041
1996,1.02023
1997,1.02112
1998,1.02094
1999,1.01938
2000,1.01992
2001,1.0193
2002,1.02014
2003,1.01927
2004,1.01832
2005,1.01792
2006,1.0177
2007,1.01636
2008,1.01596
2009,1.01519
2010,1.01622
2011,1.01603
